id,hour,click,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,character_id,conversation_turn,session_msg_count
12351885679770025507,14102100,0,1,e59ef3fc,0a4015b2,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,c5b1653d,7ac6007f,1,2,1005,18993,320,50,2161,0,35,-1,157,99a9d9a4c4,17,17
13140396868917262062,14102100,0,0,cd58172f,b9c4ab81,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a60bc6a3,c02433d4,1,0,1005,18993,320,50,2161,0,35,-1,157,2659d8c40a,2,4
1412897205791155600,14102100,0,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0fb4b52c,d787e91b,1,0,1005,15706,320,50,1722,0,35,-1,79,2eb3e54d78,20,27
14195937844762865138,14102100,0,0,7294ea0f,863fa89d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,23cbace5,5096d134,1,0,1005,20362,320,50,2333,0,39,-1,157,b40e71b924,9,17
14955163027567035813,14102100,0,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c6563308,d5db24c3,1,0,1005,17914,320,50,2043,2,39,-1,32,04dfb1dd2c,8,8
15845839919642378656,14102100,0,1,85f751fd,c4e18dd6,50e219e0,c7f29df3,7801e8d9,0f2161f8,31da1bd0,a2405be5,ef726eae,4,0,1010,21665,320,50,2493,3,35,-1,117,7108f3b791,6,13
1614094412023657010,14102100,0,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ce9db432,158e4944,1,0,1005,15705,320,50,1722,0,35,100084,79,8ba14fff49,1,10
2196028046974734126,14102100,0,1,43d6df75,27e3c518,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ad678560,c4cff2ea,1,0,1005,15706,320,50,1722,0,35,-1,79,6dcf90a165,3,5
3377890103642970081,14102100,0,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d6c05740,4ea23a13,1,0,1005,15708,320,50,1722,0,35,100084,79,1ab5872376,1,3
382972702739063956,14102100,0,0,85f751fd,c4e18dd6,50e219e0,1779deee,2347f47a,f95efa07,a99f214a,064572b3,a1a7a957,1,0,1005,18993,320,50,2161,0,35,100166,157,638d4844ab,1,1
4049008908382579683,14102100,0,0,5b787406,f3ca2e42,50e219e0,ecad2386,7801e8d9,07d7df22,7733f2bf,d2516010,766b28b3,0,0,1002,21705,320,50,2497,3,43,100151,42,af387ec9c5,8,11
4563386857755590934,14102100,0,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,50e0cd92,ff0f1aca,1,0,1005,19015,300,250,2162,2,39,-1,33,20679abeb1,2,2
571051183962764121,14102100,0,0,85f751fd,c4e18dd6,50e219e0,bbcfa7a2,b9528b13,cef3e649,fb119767,55255a05,5e12edef,1,2,1005,20596,320,50,2161,0,35,100128,157,16744ee35f,6,6
8645284598922530092,14102100,1,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,64e932c5,ad0177e7,1,0,1005,17753,320,50,1993,2,1063,100084,33,d20e4f5d51,2,2
8730684228761013187,14102100,0,0,fefe6fb9,4427d823,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,57e820f8,76dc4769,1,0,1005,20366,320,50,2333,0,39,-1,157,9d5c36d13e,1,6
8773326048787431868,14102100,0,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7f791cd1,c6263d8a,1,0,1005,15703,320,50,1722,0,35,-1,79,604a8316cf,2,2
8866912885700353496,14102100,1,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,828d4f98,d787e91b,1,0,1005,15705,320,50,1722,0,35,-1,79,17b309d40c,3,11
9041715893063572630,14102100,0,0,1bf0f8d0,e2e5d9f1,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,b4eedf6a,07df03b2,1,0,1005,18993,320,50,2161,0,35,-1,157,930d4243e8,3,8
924504135161801176,14102100,0,0,85f751fd,c4e18dd6,50e219e0,d1f14f7d,ae637522,8ded1f7a,a99f214a,dfd50805,289f5dac,1,2,1005,21611,320,50,2480,3,297,100111,61,7dbd0c8edd,10,12
10010413941733319663,14102101,0,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,59ac940d,d787e91b,1,0,1005,17914,320,50,2043,2,39,-1,32,4fdc7839a0,7,8
