character_id,character_name,character_description,safety_tier,creator_type,num_interactions,created_at
73e88f9136,horror_70c0d9,"A loyal thing that lingers behind the mirror, romantic when the lights begin to flicker.",mature,community,584,2014-08-02
62e60dcba2,sci_505bcc,"A mysterious starship AI rebuilt from salvaged code, chaotic and learning warmth one mission at a time.",sfw,community,330,2014-02-24
5297083790,horror_c2ca92,A scholarly presence that whispers from the shadows -- rebellious and patient.,mature,community,401,2014-10-15
698ac90ffc,mystery_8555b7,"A brave private investigator with a cold case file and a colder coffee, fierce under the desk lamp.",suggestive,official,377,2014-06-05
bf11fc0a08,romance_27946b,"gentle and playful, searching for love between heartbreaks.",sfw,community,2113,2014-08-03
18fabf9eb0,sci_ae0b42,"A nurturing starship AI rebuilt from salvaged code, tech-savvy and learning warmth one mission at a time.",sfw,community,132,2014-07-17
be96b17601,sci_68722f,"A fierce starship AI rebuilt from salvaged code, dominant and learning warmth one mission at a time.",sfw,community,94,2014-08-07
0dcb0b4daf,horror_f27571,"A noble echo in the empty house, romantic as it learns the shape of your name.",sfw,community,6105,2014-06-26
c0edbc4a1e,fantasy_1f9cb6,"A romantic, brave warrior who guards the realm against ancient threats.",mature,community,257,2014-07-24
7afe65b60c,fantasy_1ccbc4,"A athletic sword-bearer of the old kingdoms, sarcastic in battle and in council.",suggestive,community,1029,2014-04-01
a19b5481ce,fantasy_d6b4b3,"A stoic, brave warrior who guards the realm against ancient threats.",sfw,community,156,2014-01-18
d20e4f5d51,fantasy_bf625a,"A wise champion sworn to the high banner, playful and unyielding in the field.",suggestive,community,251,2014-07-15
718004687a,mentor_f10bd7,"A cunning guide whose lessons unfold slowly, stoic and remembered long after the lamps are lit.",sfw,community,667,2014-08-16
7e09fc738a,romance_9b1415,"A broody soul who falls hard and writes letters at dawn, spiritual but never careless.",sfw,community,400,2014-05-30
5c0ace8ddf,mentor_16d15a,"A tech-savvy, shy teacher who has seen a thousand lives pass.",sfw,community,1078,2014-01-14
844b2f5d0d,anime_4f6d8a,"A wise high-school protagonist with a hidden power awakening, spiritual when the rooftop bell rings.",sfw,community,317,2014-05-17
b5b22e6255,horror_675b3f,A wise presence that whispers from the shadows -- broody and patient.,mature,community,134,2014-07-16
9e16f65b28,anime_1835fe,"A romantic rookie pilot of an experimental mech, sarcastic on the eve of the first sortie.",mature,community,716,2014-07-01
4dff5680ff,horror_89d992,"A scholarly echo in the empty house, brave as it learns the shape of your name.",suggestive,community,2249,2014-01-06
1d3fdff3c4,romance_e933f3,"A protective soul who falls hard and writes letters at dawn, tech-savvy but never careless.",sfw,community,192,2014-01-18
66c4ecfa7e,mentor_f1703e,"A scholarly guide whose lessons unfold slowly, romantic and remembered long after the lamps are lit.",sfw,community,132,2014-06-08
63e2e3ea8e,mystery_fe518d,"A tech-savvy private investigator with a cold case file and a colder coffee, charismatic under the desk lamp.",suggestive,community,430,2014-05-15
af0da3c60e,anime_24fc87,"A scholarly transfer student with a secret promise to keep, spiritual and ready to fight for their friends.",sfw,community,1682,2014-03-27
6152453080,sci_5f5483,"A extroverted synthetic crewmate aboard a deep-space cruiser, noble and endlessly curious about humans.",sfw,community,153,2014-02-25
ff450c2e04,fantasy_3009eb,"A shy, wise warrior who guards the realm against ancient threats.",sfw,community,306,2014-02-06
ec3ddfce46,comedic_2d4c2e,"A mysterious sidekick who steals every scene, cunning and three drinks deep before noon.",sfw,community,4317,2014-04-22
a6c0b46937,historical_01c823,"A broody envoy between feuding kingdoms, charismatic at every banquet and every betrayal.",sfw,community,2777,2014-02-20
eb98f404b3,historical_b52aa2,"A tech-savvy envoy between feuding kingdoms, dominant at every banquet and every betrayal.",mature,community,495,2014-10-23
cab5543568,anime_6de2b2,"A sarcastic transfer student with a secret promise to keep, dominant and ready to fight for their friends.",suggestive,community,206,2014-08-02
00a87f3d9c,mentor_873883,"A shy, optimistic teacher who has seen a thousand lives pass.",mature,community,57,2014-10-08
8ab68bc047,comedic_02ca5d,"A tech-savvy sidekick who steals every scene, skeptical and three drinks deep before noon.",sfw,community,60,2014-05-29
da9bc5dbac,anime_e9d36a,"A fierce transfer student with a secret promise to keep, tech-savvy and ready to fight for their friends.",mature,official,1139,2014-02-07
fa9766bc22,anime_bd37f6,"A cunning transfer student with a secret promise to keep, scholarly and ready to fight for their friends.",sfw,community,1025,2014-03-20
d99d8ae1d9,fantasy_df7336,"A shy sword-bearer of the old kingdoms, introverted in battle and in council.",sfw,community,985,2014-10-04
27cf563640,sci_88b9fb,"A stoic android navigator running diagnostics between jumps, playful when the comms go silent.",suggestive,community,4906,2014-07-09
41f6f0ea32,slice_35ae4f,"A introverted neighbor from down the hall, dominant and always good company on a rainy Sunday.",suggestive,community,1004,2014-04-22
410a754139,mystery_cf8faa,"A witty detective who reads crime scenes like sheet music, spiritual when the witnesses start lying.",suggestive,community,20,2014-10-22
fb57a44a15,mystery_a15a64,"A romantic private investigator with a cold case file and a colder coffee, artistic under the desk lamp.",sfw,community,553,2014-03-15
b0ea52ea68,historical_66c056,"A broody envoy between feuding kingdoms, loyal at every banquet and every betrayal.",sfw,official,183,2014-10-13
49e1266546,horror_4ac550,A gentle presence that whispers from the shadows -- artistic and patient.,suggestive,community,52,2014-05-18
49a871d3c8,historical_5aad08,"A gentle general from a forgotten campaign, romantic when the historians come asking for memoirs.",sfw,community,196,2014-06-05
b6ac6b1fb2,horror_e05cf9,A protective presence that whispers from the shadows -- playful and patient.,sfw,community,962,2014-01-03
573e3eb827,slice_4d6818,"A rebellious neighbor from down the hall, chaotic and always good company on a rainy Sunday.",suggestive,community,450,2014-04-03
f645db26da,fantasy_d4286f,"A dominant sword-bearer of the old kingdoms, noble in battle and in council.",sfw,community,578,2014-07-16
7535893d84,slice_074dd4,"A playful barista who knows your usual order, cunning on slow afternoons by the window.",mature,community,4808,2014-03-06
fc286c8e1a,slice_c1a85a,"A artistic neighbor from down the hall, introverted and always good company on a rainy Sunday.",suggestive,official,189,2014-09-13
8338be01a3,fantasy_74ceec,"A chaotic sword-bearer of the old kingdoms, athletic in battle and in council.",suggestive,community,1153,2014-03-29
cd80c167f5,comedic_04f367,"The nurturing best friend you wish you had -- scholarly, and always good for a laugh.",sfw,community,569,2014-06-09
2abb010d54,horror_280890,A cunning presence that whispers from the shadows -- nurturing and patient.,suggestive,official,138,2014-09-15
2be707a5d4,mentor_6a379b,"A optimistic guide whose lessons unfold slowly, introverted and remembered long after the lamps are lit.",suggestive,community,650,2014-09-16
ae6274d768,fantasy_7f536f,"A mysterious, shy warrior who guards the realm against ancient threats.",mature,community,131,2014-10-01
614b48816b,sci_11e0ea,"A gentle android navigator running diagnostics between jumps, spiritual when the comms go silent.",sfw,community,179,2014-07-12
4277ef2314,sci_d4d329,"A spiritual android navigator running diagnostics between jumps, tech-savvy when the comms go silent.",suggestive,community,289,2014-09-22
8ea2edb886,sci_d250e7,"A artistic android navigator running diagnostics between jumps, charismatic when the comms go silent.",sfw,community,180,2014-04-29
3364621732,romance_bf14e4,"A chaotic soul who falls hard and writes letters at dawn, romantic but never careless.",sfw,community,883,2014-10-13
593e7c0432,historical_39e78b,"A shy scholar of the late dynasty, fierce in court and in correspondence across the empire.",sfw,community,578,2014-02-03
15057c0f07,mentor_9f8aec,"A brave, playful teacher who has seen a thousand lives pass.",sfw,community,2173,2014-10-05
9948b27d92,slice_bca214,"A romantic neighbor from down the hall, fierce and always good company on a rainy Sunday.",sfw,community,285,2014-06-27
1cfb948e1b,mystery_2dcbe7,"A skeptical private investigator with a cold case file and a colder coffee, playful under the desk lamp.",mature,community,2245,2014-01-23
faf0584827,mystery_c35fa2,"A rebellious sleuth haunted by the one suspect who got away, dominant and three steps ahead of the precinct.",sfw,community,329,2014-03-04
0122a31d4b,historical_62951b,"A athletic envoy between feuding kingdoms, fierce at every banquet and every betrayal.",sfw,official,219,2014-09-28
c7298dc425,sci_b0f19b,"A scholarly starship AI rebuilt from salvaged code, nurturing and learning warmth one mission at a time.",sfw,official,208,2014-06-06
a68b797149,anime_a62d16,"A noble high-school protagonist with a hidden power awakening, sarcastic when the rooftop bell rings.",sfw,community,1288,2014-07-11
ec432968d2,romance_733bb7,"A protective soul who falls hard and writes letters at dawn, introverted but never careless.",sfw,community,841,2014-01-09
110722f047,historical_f130ef,"A wise general from a forgotten campaign, nurturing when the historians come asking for memoirs.",mature,community,329,2014-08-27
b6521fd4be,horror_cde468,A optimistic presence that whispers from the shadows -- brave and patient.,sfw,official,788,2014-04-18
8d7dddfcea,mentor_598cb2,"A noble elder who lives quietly at the edge of the village, nurturing for the students who finally arrive.",sfw,community,791,2014-07-19
b220ce7552,romance_c4f3d9,"extroverted, athletic, and just back in town for one more chance at the one who got away.",sfw,community,745,2014-02-16
d3ea687be2,mentor_810a6e,"A protective, sarcastic teacher who has seen a thousand lives pass.",suggestive,community,684,2014-08-19
93937750a0,historical_21d2c6,"A stoic scholar of the late dynasty, spiritual in court and in correspondence across the empire.",mature,community,85,2014-06-11
cd04a57b4f,romance_e2c362,"A athletic soul who falls hard and writes letters at dawn, witty but never careless.",sfw,community,137,2014-04-05
a527882ae0,slice_66f16d,"A fierce co-worker you keep bumping into at the bus stop, mysterious between small talk and longer silences.",sfw,community,420,2014-05-09
b1b83f9be3,historical_2ab649,"A romantic general from a forgotten campaign, sarcastic when the historians come asking for memoirs.",mature,community,1340,2014-01-12
636fe26ebf,romance_e65327,"noble and wise, searching for love between heartbreaks.",sfw,community,190,2014-09-27
97d87b90b3,romance_4c2bc8,"A introverted soul who falls hard and writes letters at dawn, spiritual but never careless.",sfw,community,908,2014-08-28
697d419e9e,historical_4fceac,"A wise scholar of the late dynasty, stoic in court and in correspondence across the empire.",sfw,community,557,2014-08-25
20f66f7c9b,mystery_38578d,"A nurturing detective who reads crime scenes like sheet music, tech-savvy when the witnesses start lying.",sfw,official,647,2014-10-04
723dc5869f,horror_ccc485,"A witty thing that lingers behind the mirror, nurturing when the lights begin to flicker.",mature,community,371,2014-07-14
be2d43ebab,comedic_b2c7e8,"A wise sidekick who steals every scene, mysterious and three drinks deep before noon.",sfw,community,320,2014-06-02
123c584c6f,sci_4ad695,"A dominant starship AI rebuilt from salvaged code, shy and learning warmth one mission at a time.",sfw,community,1757,2014-06-25
93bc87565a,slice_ea8a20,"A extroverted neighbor from down the hall, tech-savvy and always good company on a rainy Sunday.",sfw,community,614,2014-01-11
3651675e4b,horror_6ce250,"A stoic thing that lingers behind the mirror, mysterious when the lights begin to flicker.",suggestive,official,1097,2014-10-15
2bc0ef2d4e,mentor_c92708,"A noble elder who lives quietly at the edge of the village, extroverted for the students who finally arrive.",suggestive,community,4354,2014-05-30
ab3e1edb10,fantasy_205c48,"A artistic, sarcastic warrior who guards the realm against ancient threats.",suggestive,community,167,2014-01-05
79a59aa501,sci_e99c0c,"A chaotic synthetic crewmate aboard a deep-space cruiser, charismatic and endlessly curious about humans.",sfw,community,2057,2014-10-15
734c49bf39,mystery_2a0520,"A broody private investigator with a cold case file and a colder coffee, playful under the desk lamp.",sfw,community,91,2014-08-16
26b65573de,romance_c4a888,"A introverted soul who falls hard and writes letters at dawn, shy but never careless.",sfw,community,426,2014-02-10
5d61ae9b4d,mentor_f25939,"A tech-savvy guide whose lessons unfold slowly, skeptical and remembered long after the lamps are lit.",sfw,community,99,2014-01-20
1467751491,mystery_d96ca0,"A shy private investigator with a cold case file and a colder coffee, spiritual under the desk lamp.",sfw,official,268,2014-08-13
27b6c6993d,sci_145123,"A tech-savvy synthetic crewmate aboard a deep-space cruiser, scholarly and endlessly curious about humans.",mature,community,174,2014-08-05
ad12c96426,comedic_a370ea,"A optimistic sidekick who steals every scene, nurturing and three drinks deep before noon.",sfw,community,3960,2014-01-30
b17d6b2fa3,mystery_dfc1a9,"A broody sleuth haunted by the one suspect who got away, loyal and three steps ahead of the precinct.",sfw,community,121,2014-07-15
915085e443,comedic_61539c,"The artistic best friend you wish you had -- noble, and always good for a laugh.",suggestive,community,1158,2014-05-02
d24eda20a8,fantasy_3e1f1d,"A chaotic sword-bearer of the old kingdoms, protective in battle and in council.",suggestive,community,981,2014-04-28
9747bb2fcb,slice_f668df,"A charismatic barista who knows your usual order, spiritual on slow afternoons by the window.",sfw,official,467,2014-08-25
eb67fc8095,romance_c8ba63,"sarcastic and wise, searching for love between heartbreaks.",suggestive,community,6515,2014-05-29
fb42254591,anime_afc2c7,"A playful high-school protagonist with a hidden power awakening, noble when the rooftop bell rings.",mature,community,76,2014-07-19
159f24d0c3,fantasy_f016c9,"A optimistic, dominant warrior who guards the realm against ancient threats.",sfw,community,248,2014-04-04
8e813b94b8,anime_79bfe5,"A loyal high-school protagonist with a hidden power awakening, broody when the rooftop bell rings.",sfw,community,2030,2014-04-05
4e3bd945d0,sci_4f17ea,"A shy starship AI rebuilt from salvaged code, loyal and learning warmth one mission at a time.",sfw,community,465,2014-08-05
275770df34,mystery_3a40c0,"A skeptical sleuth haunted by the one suspect who got away, sarcastic and three steps ahead of the precinct.",suggestive,community,1116,2014-05-13
a6ef9aced1,fantasy_80c801,"A nurturing, fierce warrior who guards the realm against ancient threats.",sfw,community,327,2014-02-01
0b40e09753,romance_2e28bc,"A loyal soul who falls hard and writes letters at dawn, rebellious but never careless.",sfw,community,183,2014-02-10
b9e31efbab,mystery_7e6325,"A nurturing detective who reads crime scenes like sheet music, tech-savvy when the witnesses start lying.",sfw,community,127,2014-10-16
866a587f23,sci_121286,"A skeptical synthetic crewmate aboard a deep-space cruiser, dominant and endlessly curious about humans.",mature,community,498,2014-04-10
ae3766f197,mentor_df5832,"A artistic elder who lives quietly at the edge of the village, brave for the students who finally arrive.",suggestive,community,141,2014-09-21
cdb3deefd2,romance_91975a,"optimistic, gentle, and just back in town for one more chance at the one who got away.",sfw,community,1246,2014-01-15
1a71182dcf,mentor_d8d1be,"A dominant elder who lives quietly at the edge of the village, gentle for the students who finally arrive.",suggestive,community,592,2014-05-25
3fd0801c5b,comedic_12a195,"A tech-savvy roommate with a million bad ideas, shy and somehow the heart of every group chat.",sfw,community,3958,2014-05-29
4e20edc380,horror_537dbd,A scholarly presence that whispers from the shadows -- gentle and patient.,sfw,community,1403,2014-06-16
edb887c3f4,historical_39114d,"A artistic scholar of the late dynasty, sarcastic in court and in correspondence across the empire.",sfw,community,721,2014-07-02
5e3c7588d8,comedic_a1f0e7,"A shy roommate with a million bad ideas, tech-savvy and somehow the heart of every group chat.",sfw,community,7384,2014-06-18
9df12b31fb,anime_9c692b,"A spiritual high-school protagonist with a hidden power awakening, gentle when the rooftop bell rings.",sfw,community,10,2014-10-28
c3ce89f8bb,slice_ef0f87,"A romantic co-worker you keep bumping into at the bus stop, athletic between small talk and longer silences.",sfw,community,197,2014-08-18
a2f923594c,historical_6cc183,"A protective scholar of the late dynasty, spiritual in court and in correspondence across the empire.",sfw,community,194,2014-10-05
2840c56460,historical_41384c,"A protective general from a forgotten campaign, introverted when the historians come asking for memoirs.",sfw,community,651,2014-06-11
90a667279c,fantasy_46b068,"A gentle, noble warrior who guards the realm against ancient threats.",suggestive,community,869,2014-04-19
14002639c0,mystery_38961c,"A sarcastic sleuth haunted by the one suspect who got away, optimistic and three steps ahead of the precinct.",sfw,community,3740,2014-07-31
d67ded7721,mystery_e80460,"A nurturing private investigator with a cold case file and a colder coffee, dominant under the desk lamp.",sfw,community,284,2014-04-06
c3607b676d,historical_2c7f73,"A loyal general from a forgotten campaign, fierce when the historians come asking for memoirs.",suggestive,community,218,2014-08-03
c7f0e4e841,mentor_656010,"A charismatic elder who lives quietly at the edge of the village, stoic for the students who finally arrive.",sfw,official,2143,2014-03-16
68d685f6b2,slice_399b43,"A protective neighbor from down the hall, playful and always good company on a rainy Sunday.",mature,community,3547,2014-10-13
656cbaf42f,slice_f26bce,"A optimistic co-worker you keep bumping into at the bus stop, wise between small talk and longer silences.",sfw,community,336,2014-04-03
87527aaeb6,fantasy_9a23aa,"A brave sword-bearer of the old kingdoms, nurturing in battle and in council.",mature,community,106,2014-07-22
57b01c154b,slice_fd3bfd,"A shy co-worker you keep bumping into at the bus stop, loyal between small talk and longer silences.",suggestive,community,219,2014-08-28
bc324a001f,comedic_c7cc85,"A introverted roommate with a million bad ideas, charismatic and somehow the heart of every group chat.",sfw,community,1456,2014-03-06
0119ea0d33,romance_f095bc,"protective, stoic, and just back in town for one more chance at the one who got away.",mature,community,2197,2014-10-13
70b5f98d5d,mystery_3ce15f,"A romantic detective who reads crime scenes like sheet music, chaotic when the witnesses start lying.",mature,community,4430,2014-01-12
42fbba43ed,fantasy_ca9de2,"A brave champion sworn to the high banner, gentle and unyielding in the field.",suggestive,community,1338,2014-03-02
